x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
-150.960180378779967,70.428602348207122,137,1441.248916810277933,6,560.921498299416612,13978.451870533124747,901.997782702374479,"117",157 551,1,2,1,"117, 549, 157, 551",90,102,0,0,0.054355970392473,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.972721038833100,70.410579747413792,139,1750.660171779820985,8,194.726051383755589,15711.715033826754734,660.000000000000000,121 166,"117",2,1,1,"121, 166, 117, 140",107,103,0,0,0.085506684306035,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.939128093993332,70.405733566593128,140,3610.660171779819848,16,201.774792426878747,16759.482824845985306,684.105255059482715,"159","117",1,1,1,"159, 180, 117, 139",123,103,0,0,0.012516544018766,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.789829266208699,70.285643149933748,143,3461.025971044410653,15,1117.824683057331640,19666.622904079471482,1444.991349455075579,"120",161 214,1,2,1,"120, 144, 161, 214",106,125,0,0,0.434927157208367,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.819978685722617,70.295380519346580,144,4873.158005400379807,22,561.118209827846954,45978.023796748784662,1444.991349455075579,"120",163 164,1,2,1,"120, 143, 163, 164",106,126,0,0,0.218321845596388,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.940923073615011,70.435523061368542,157,1191.837661840735564,5,717.702439078260340,9068.050499686038165,1021.763181955584173,"137","553",1,1,1,"137, 551, 180, 553",102,136,0,0,0.027310017894020,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.878493693379198,70.404555524288881,159,1615.218613006977648,7,191.175595768850826,968.404383731113626,268.328157299974805,"182",140 180,1,2,1,"182, 555, 140, 180",138,123,0,0,0.018049654458108,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.761097853153757,70.308222701825926,161,2491.248916810277933,11,1003.821256824800344,3606.189307303156511,1214.907403878995183,"143","186",1,1,1,"143, 214, 186, 163",125,140,0,0,0.399335769738330,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.777312176538317,70.317150020205801,163,1718.528137423856606,8,590.278599332981685,38324.170155936095398,1214.907403878995183,"144","186",1,1,1,"144, 164, 161, 186",126,140,0,0,0.153929709759379,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.831808302873043,70.353041553041237,164,10196.316010800777804,46,246.926339361933799,6715.830050045573444,660.000000000000000,"144",166 182,1,2,1,"144, 163, 166, 182",126,142,0,0,0.064392135837008,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.946122872970307,70.383754461475320,166,6986.833329081857300,32,177.153489773720167,2580.811609554366896,424.264068711928530,"164","139",1,1,1,"164, 182, 121, 139",142,107,0,0,0.034495404323867,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.921669079012361,70.424319979963215,180,4924.995667241116280,22,89.197322256002494,24714.351611017984396,842.140130857091890,"159","553",1,1,1,"140, 159, 157, 553",123,136,0,0,0.005533110439342,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.868155662844714,70.392752271411183,182,1511.543289325506521,7,153.536693486922445,2084.061592147779720,268.328157299974805,"164",159 555,1,2,1,"164, 166, 159, 555",142,138,0,0,0.029896731513142,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.749848428492811,70.321883563502354,186,926.101730552664549,4,1327.781712134730014,1745.724920565022103,1357.645019878171297,161 163,"212",2,1,1,"161, 163, 212, 213",140,159,0,0,0.553265479497709,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.737060688550514,70.334149142065471,212,2248.233764908627109,10,1290.295194386565072,33025.229881618855870,1716.041957529010915,186 213,237 238,2,2,1,"186, 213, 237, 238",159,178,0,0,0.564516405214771,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.721724101794194,70.321871559207281,213,1895.512985522206236,8,85.959451886986187,102102.118939286519890,1214.907403878995183,"214","212",1,1,1,"214, 263, 186, 212",179,159,0,0,0.011250925717062,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.696593907090858,70.305000013678082,214,7566.244584051406491,34,89.467045052644963,13388.609403155280233,873.613186713662117,"143",213 263,1,2,1,"143, 161, 213, 263",125,179,0,0,0.035591387470038,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.702487407906688,70.345170108310285,237,2016.396103067892454,9,943.534410954056398,59816.420705387608905,1744.133022449836062,"212","294",1,1,1,"212, 238, 263, 294",178,197,0,0,0.273573211596749,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.732332778192159,70.352090381909974,238,2271.837661840735564,10,1003.442234746692861,25690.338226442963787,1689.615340839446844,"212",264 298,1,2,1,"212, 237, 264, 298",178,198,0,0,0.290943193618021,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.682784919554990,70.330405809932643,263,4364.924240491748606,20,185.966275449589716,30351.087530574503035,967.470929795825896,"214","294",1,1,1,"213, 214, 237, 294",179,197,0,0,0.024340461752976,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.708351980908589,70.368681730618874,264,2537.056274847711848,11,582.015290683860826,24461.420998932870134,1154.123043700280505,"238",296 297,1,2,1,"238, 298, 296, 297",198,220,0,0,0.167204145553953,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.729362163092929,70.387189480696904,289,3603.746750430832435,16,125.510897526981097,17171.782996954410919,833.546639366988188,297 298,315 556,2,2,1,"297, 298, 315, 556",240,214,0,0,0.198562033377597,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.669266251081410,70.350540473547341,294,978.822509939085876,4,1282.317566834589798,9794.991120750464688,1385.207565673823410,237 263,324 356,2,2,1,"237, 263, 324, 356",197,245,0,0,0.297913673349725,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.687437074743315,70.380639790588077,296,781.248916810278729,3,1118.142703691888983,5976.894180592489647,1231.097071720991380,"264",326 327,1,2,1,"264, 297, 326, 327",220,247,0,0,0.092381160240424,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.695460858254279,70.378455145321013,297,84.852813742385706,1,905.625940170412946,3041.656490455467519,967.470929795825896,"264","289",1,1,1,"264, 296, 289, 298",220,240,0,0,0.074822985313529,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.727581528224675,70.373428616969875,298,2924.924240491747696,13,430.719093652580455,36257.869937404197117,1154.123043700280505,"238","289",1,1,1,"238, 264, 289, 297",198,240,0,0,0.123739048064068,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.709641759746034,70.398911707897810,315,2355.807358037434369,11,99.975784061643381,3195.448834766901655,300.000000000000000,"289","343",1,1,1,"289, 556, 343, 327",214,262,0,0,0.074586347011195,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.653935185799924,70.445125627440291,318,2634.335495461290975,11,401.436218239970287,41123.358112147536303,1140.000000000000000,"344","558",1,1,1,"344, 345, 319, 558",263,242,0,0,0.006852485002265,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.679833130200677,70.442968796492508,319,2492.497833620555411,11,423.121252767757994,37509.821708015842887,1140.000000000000000,346 347,"558",2,1,1,"346, 347, 318, 558",264,242,0,0,0.103555148684508,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.556608224128269,70.460362884638911,321,4289.482681718907770,20,179.495569794957163,16302.445049811823992,742.159012611178696,"350","561",1,1,1,"350, 563, 345, 561",266,243,0,0,0.002646804321411,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.618374756033120,70.360961833561376,324,3910.142853498723525,17,924.403742490231252,14862.974709280040770,1332.216198670471158,"294",355 423,1,2,1,"294, 356, 355, 423",245,268,0,0,0.220574029987818,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.663692361548584,70.384759904681687,326,1421.543289325506748,6,959.009011500483098,4832.136184948625669,1120.892501536164218,"296",358 359,1,2,1,"296, 327, 358, 359",247,270,0,0,0.069230692151313,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.687418238052373,70.391631290169101,327,2076.396103067892454,9,320.688798970660457,30514.594786471330735,961.873172512883912,"296","343",1,1,1,"296, 326, 315, 343",247,262,0,0,0.023150468089111,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.668120516395732,70.409234687736301,343,2487.350647362941345,11,340.480368989773694,4780.879846518203522,456.946386351834519,315 327,375 346,2,2,1,"315, 327, 375, 346",262,282,0,0,0.097736815100306,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.632556291830952,70.430437704200742,344,1311.837661840735791,6,306.378571957863016,2947.393468369386937,494.772675074119206,"378",318 345,1,2,1,"377, 378, 318, 345",283,263,0,0,0.009224598988967,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.632807713989166,70.458366996193988,345,6388.965363437820997,29,138.964546108569976,14339.053239911554556,742.159012611178696,"344","561",1,1,1,"318, 344, 321, 561",263,243,0,0,0.002372113986701,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.663150363705739,70.426253684070375,346,1976.101730552663184,9,75.983658206915933,15680.272674574247503,602.992537267253397,"343","319",1,1,1,"343, 375, 319, 347",282,264,0,0,0.014467166272258,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.651995782072390,70.431268868627313,347,1103.969696196699942,5,528.175134040549551,1307.400437228088322,602.992537267253397,375 377,"319",2,1,1,"375, 377, 319, 346",284,264,0,0,0.089087982412250,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.557488047919378,70.437798413457074,350,1384.264068711928530,6,188.906531783698370,2767.649263373531085,402.492235949962151,"382",321 563,1,2,1,"381, 382, 321, 563",286,266,0,0,0.005782183870057,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.587543891308115,70.380248090628371,355,1733.969696196699715,8,368.573513659141270,70091.469848329783417,1154.123043700280505,"324","390",1,1,1,"324, 423, 389, 390",268,290,0,0,0.062087807997332,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
